Tipo_Predio;postalCode;country;ID_PRUMA;REGIONAL;state;city;throughfare;streetNumber;LIBERADO_EM;AGING_SEMANAS;AGING_MESES;TORRES;APTOS;TIPO_CAIXA;CAIXAS;ARMARIO;CAP_INS;OCUPACAO;DISPONIVEL;OCUPADO;RESERVADO;BLOQUEADO;OCUPACAO_PERCENTUAL;FAIXA_OCUPACAO;GRUPO_OCUPACAO;F_SP;TV;FAIXA_FIBRAS_LIVRES;FAIXA_FIBRAS_LIVRES_AGRUP
FANOUT;71015074 | 0;Brasil;113938;CO;DF;BRASILIA;QI 18 BLOCO G ENT A  - Guará I - Brasília/DF;0;15/03/2016;1;0;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71020168 | 0;Brasil;114751;CO;DF;BRASILIA;QI 9 BLOCO P ENT B;0;22/03/2016;0;0;2;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699567 | 10;Brasil;114090;CO;DF;BRASILIA;QC 10 R B LT B1;10;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;8;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699567 | 2;Brasil;114077;CO;DF;BRASILIA;QC 10 R B LT B2;2;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;8;0;0;100.00;Saturado;Alta;FSP;2PLAY;0 Fibras Livres;Baixa
FANOUT;71699569 | 0;Brasil;133592;CO;DF;BRASILIA;QC 10 R C LT C1 SN;0;28/01/2016;8;2;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699575 | 10;Brasil;133527;CO;DF;BRASILIA;QC 10 R F LT F1 ;10;28/01/2016;8;2;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699583 | 2;Brasil;114074;CO;DF;BRASILIA;QC 10 R J LT J2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;16;11;5;6;0;0;68.75;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699583 | 4;Brasil;113972;CO;DF;BRASILIA;QC 10 R J LT J4 ;4;01/09/2015;29;6;1;0;CTO;1;D09;8;5;3;4;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699591 | 10;Brasil;114063;CO;DF;BRASILIA;QC 10 R N LT N1;10;01/09/2015;29;6;1;0;CTO;1;D09;8;5;3;4;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699591 | 2;Brasil;114073;CO;DF;BRASILIA;QC 10 R N LT N2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;8;5;3;4;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699595 | 10;Brasil;114055;CO;DF;BRASILIA;QC 10 R P LT P2;10;01/09/2015;29;6;1;0;CTO;1;D09;8;6;2;6;0;0;75.00;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699597 | 10;Brasil;114050;CO;DF;BRASILIA;QC 10 R Q LT Q1;10;01/09/2015;29;6;1;0;CTO;1;D09;8;5;3;5;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699617 | 1;Brasil;119555;CO;DF;BRASILIA;QC 11 R B LT B1;1;15/03/2016;1;0;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699627 | 11;Brasil;114020;CO;DF;BRASILIA;QC 11 R G LT G2 ;11;19/11/2015;18;4;1;0;CTO;1;D09;16;5;11;2;0;0;31.25;21%  À 50%;Média;FSP;3PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;71699629 | 0;Brasil;132279;CO;DF;BRASILIA;QC 11 R H LT H4;0;11/03/2016;2;0;1;4;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699637 | 11;Brasil;114002;CO;DF;BRASILIA;QC 11 R L LT L1 ;11;18/11/2015;18;4;2;0;CTO;1;D09;8;7;1;4;1;0;87.50;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699667 | 1;Brasil;114004;CO;DF;BRASILIA;QC 12 R B LT B1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;16;5;11;5;0;0;31.25;21%  À 50%;Média;FSP;3PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;71699673 | 2;Brasil;113980;CO;DF;BRASILIA;QC 12 R E LT E2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;16;2;14;2;0;0;12.50;1%   À 20%;Baixa;FSP;3PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;71699677 | 3;Brasil;119524;CO;DF;BRASILIA;QC 12 R G LT G3;3;28/01/2016;8;2;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699681 | 1;Brasil;113965;CO;DF;BRASILIA;QC 12 R I LT I1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;16;7;9;6;0;0;43.75;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699683 | 1;Brasil;113991;CO;DF;BRASILIA;QC 12 R J LT J1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;8;4;4;4;0;0;50.00;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699683 | 2;Brasil;113943;CO;DF;BRASILIA;QC 12 R J LT J2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;8;4;4;4;0;0;50.00;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699717 | 1;Brasil;113987;CO;DF;BRASILIA;QC 13 R B LT B1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;8;1;7;1;0;0;12.50;1%   À 20%;Baixa;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699723 | 1;Brasil;114072;CO;DF;BRASILIA;QC 13 R E LT E1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;8;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699723 | 13;Brasil;113992;CO;DF;BRASILIA;QC 13 R E LT E1;13;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;8;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699723 | 24;Brasil;113969;CO;DF;BRASILIA;QC 13 R E LT E2 24;24;01/09/2015;29;6;1;0;CTO;1;D09;8;3;5;3;0;0;37.50;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699725 | 2;Brasil;114076;CO;DF;BRASILIA;QC 13 R F LT F2;2;01/09/2015;29;6;1;0;CTO;1;D09;8;7;1;6;0;0;87.50;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699733 | 2;Brasil;114010;CO;DF;BRASILIA;QC 13 R J LT J2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;16;13;3;8;0;0;81.25;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699735 | 1;Brasil;113996;CO;DF;BRASILIA;QC 13 R K LT K1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;16;13;3;8;0;0;81.25;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699739 | 13;Brasil;113933;CO;DF;BRASILIA;QC 13 R M LT M1;13;01/09/2015;29;6;2;0;CTO;2;D09;24;16;8;13;0;0;66.67;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699743 | 1;Brasil;113975;CO;DF;BRASILIA;QC 13 R O LT O1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;16;10;6;8;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699743 | 2;Brasil;113977;CO;DF;BRASILIA;QC 13 R O LT O2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;16;10;6;8;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699747 | 0;Brasil;132272;CO;DF;BRASILIA;QC 13 R Q LT Q1;0;28/01/2016;8;2;1;4;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699767 | 1;Brasil;113953;CO;DF;BRASILIA;QC 14 R B LT B1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;8;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699767 | 2;Brasil;113985;CO;DF;BRASILIA;QC 14 R B LT B2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;8;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699771 | 0;Brasil;114457;CO;DF;BRASILIA;Quadra QC 14 Rua D;0;01/09/2015;29;6;1;0;CTO;1;D09;8;7;1;7;0;0;87.50;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699771 | 14;Brasil;113915;CO;DF;BRASILIA;QC 14 R D LT D3;14;20/11/2015;18;4;1;0;CTO;1;D09;8;7;1;7;0;0;87.50;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699781 | 11;Brasil;112518;CO;DF;BRASILIA;QC 14 R I LT I1 11;11;01/09/2015;29;6;1;0;CTO;1;D09;8;3;5;3;0;0;37.50;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699789 | 0;Brasil;114887;CO;DF;BRASILIA;QC 14 R M LT M1 SN;0;28/01/2016;8;2;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699789 | 14;Brasil;113893;CO;DF;BRASILIA;QC 14 R M LT M2 ;14;23/11/2015;17;4;1;0;CTO;1;D09;16;8;8;6;0;0;50.00;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699815 | 1;Brasil;112517;CO;DF;BRASILIA;QC 15 R A LT A1 ;1;25/11/2015;17;4;1;0;CTO;1;D09;16;11;5;10;0;0;68.75;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699819 | 0;Brasil;132253;CO;DF;BRASILIA;QC 15 R C LT C1;0;29/02/2016;3;1;1;4;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699819 | 2;Brasil;113961;CO;DF;BRASILIA;QC 15 R C LT C2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;8;5;3;5;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699827 | 2;Brasil;112516;CO;DF;BRASILIA;QC 15 R G LT G2 2;2;24/11/2015;17;4;1;0;CTO;1;D09;16;11;5;10;0;0;68.75;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699829 | 1;Brasil;112515;CO;DF;BRASILIA;QC 15 R H LT H1 ;1;20/11/2015;18;4;2;0;CTO;2;D09;16;16;0;15;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699829 | 3;Brasil;112514;CO;DF;BRASILIA;QC 15 R H LT H3 ;3;01/09/2015;29;6;1;0;CTO;1;D09;16;5;11;4;0;0;31.25;21%  À 50%;Média;FSP;3PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;71699831 | 1;Brasil;113948;CO;DF;BRASILIA;QC 15 R I LT I1 ;1;19/11/2015;18;4;2;0;CTO;2;D09;32;16;16;14;0;0;50.00;21%  À 50%;Média;FSP;3PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;71699831 | 15;Brasil;112511;CO;DF;BRASILIA;QC 15 R I LT I3 15;15;01/09/2015;29;6;1;0;CTO;1;D09;8;8;0;7;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699831 | 2;Brasil;112519;CO;DF;BRASILIA;QC 11 R I LT I2 ;2;20/11/2015;18;4;2;0;CTO;2;D09;24;19;5;18;0;0;79.17;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699841 | 1;Brasil;112510;CO;DF;BRASILIA;QC 15 R N LT N1 ;1;24/11/2015;17;4;1;0;CTO;1;D09;16;11;5;10;0;0;68.75;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699841 | 2;Brasil;114078;CO;DF;BRASILIA;QC 15 R N LT N2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;16;11;5;10;0;0;68.75;51%  À 70%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699841 | 3;Brasil;112509;CO;DF;BRASILIA;QC 15 R N LT N3 ;3;01/09/2015;29;6;1;0;CTO;1;D09;16;11;5;10;0;0;68.75;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699845 | 1;Brasil;119534;CO;DF;BRASILIA;QC 15 R P LT P1;1;25/02/2016;4;1;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;73090906 | 0;Brasil;137736;CO;DF;BRASILIA;COND BEIJA FLOR QD 1 LT 10 SN;0;22/03/2016;0;0;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;73092912 | 0;Brasil;133604;CO;DF;BRASILIA;COND RES FRATERNIDADE CJ 2 LT 2A SN;0;24/02/2016;4;1;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;71699571 | 10;Brasil;114087;CO;DF;BRASILIA;QC 10 R D LT D1;10;01/09/2015;29;6;2;0;CTO;2;D09;16;13;3;13;0;0;81.25;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699583 | 10;Brasil;114068;CO;DF;BRASILIA;QC 10 R J LT J1;10;01/09/2015;29;6;1;0;CTO;1;D09;16;11;5;6;0;0;68.75;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699623 | 11;Brasil;114039;CO;DF;BRASILIA;QC 11 R E LT E1 ;11;17/11/2015;18;4;3;0;CTO;2;D09;16;8;8;6;0;0;50.00;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699681 | 2;Brasil;113955;CO;DF;BRASILIA;QC 12 R I LT I2 ;2;01/09/2015;29;6;1;0;CTO;1;D09;16;7;9;6;0;0;43.75;21%  À 50%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699725 | 13;Brasil;113989;CO;DF;BRASILIA;QC 13 R F LT F1;13;01/09/2015;29;6;1;0;CTO;1;D09;8;7;1;6;0;0;87.50;71%  À 99%;Alta;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699743 | 33;Brasil;114070;CO;DF;BRASILIA;QC 13 R O LT O2 33;33;01/09/2015;29;6;1;0;CTO;1;D09;16;10;6;8;0;0;62.50;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;71699777 | 14;Brasil;113905;CO;DF;BRASILIA;QC 14 R G LT G1;14;20/11/2015;18;4;1;0;CTO;1;D09;8;8;0;6;0;0;100.00;Saturado;Alta;FSP;3PLAY;0 Fibras Livres;Baixa
FANOUT;71699817 | 1;Brasil;114071;CO;DF;BRASILIA;QC 15 R B LT B1 ;1;01/09/2015;29;6;1;0;CTO;1;D09;16;9;7;8;0;0;56.25;51%  À 70%;Média;FSP;3PLAY;Até 10 Fibras Livres;Baixa
FANOUT;74815700 | 14;Brasil;111297;CO;GO;GOIANIA;AV. SÃO JOÃO (B. ALTA DA GLÓRIA), 14,Q 11;14;30/10/2015;21;5;2;0;TO;1;C44;24;0;24;0;0;0;0.00;Sem LIS;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;74815700 | 13;Brasil;111298;CO;GO;GOIANIA;AV. SÃO JOÃO (B. ALTA DA GLÓRIA), 13,Q 17;13;30/10/2015;21;5;1;0;TO;1;C44;16;2;14;2;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;74815770 | 13;Brasil;114240;CO;GO;GOIANIA;R. FLORIANOPOLIS (B. ALTA DA GLÓRIA), 13,Q 13;13;30/10/2015;21;5;1;0;TO;1;C44;16;2;14;2;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;74815770 | 14;Brasil;114236;CO;GO;GOIANIA;R. FLORIANOPOLIS (B. ALTA DA GLÓRIA), 14,Q 13;14;30/10/2015;21;5;2;0;TO;2;C44;48;3;45;3;0;0;6.25;1%   À 20%;Baixa;FSP;2PLAY;de 31 a 50 Fibras Livres;Media
FANOUT;40295010 | 1085;Brasil;113393;NE;BA;SALVADOR;WALDEMAR FALCAO 1085;1085;17/03/2016;1;0;1;0;CTO;1;I04;16;7;9;5;0;0;43.75;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40295010 | 1804;Brasil;114327;NE;BA;SALVADOR;WALDEMAR FALCAO 1804;1804;29/12/2015;12;3;1;0;CTO;1;I04;8;4;4;1;0;0;50.00;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296190 | 98;Brasil;114351;NE;BA;SALVADOR;DA CRUZ DA REDENCAO 98;98;30/12/2015;12;3;1;0;CTO;1;A48;16;4;12;4;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40296210 | 74;Brasil;113492;NE;BA;SALVADOR;LEONOR CALMON 74;74;30/12/2015;12;3;1;0;CTO;1;A48;8;1;7;0;1;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296720 | 107;Brasil;113486;NE;BA;SALVADOR;SOCRATES GUANAES GOMES 107;107;22/12/2015;13;3;1;0;CTO;1;A48;16;5;11;3;0;0;31.25;21%  À 50%;Média;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;41940060 | 1054;Brasil;139637;NE;BA;SALVADOR;AV. JURACY MAGALHAES JUNIOR, 1054;1054;14/03/2016;1;0;1;0;CTO;1;B84;8;1;7;1;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;41940060 | 2426;Brasil;113493;NE;BA;SALVADOR;JURACY MAGALHAES JUNIOR 2426;2426;30/12/2015;12;3;1;0;CTO;1;A48;8;5;3;5;0;0;62.50;51%  À 70%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40221500 | 690;Brasil;114388;NE;BA;SALVADOR;VASCO DA GAMA 690;690;30/12/2015;12;3;1;0;CTO;1;I04;8;3;5;3;0;0;37.50;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40230731 | 3743;Brasil;110690;NE;BA;SALVADOR;Av. VASCO DA GAMA, 3743;3743;17/03/2016;1;0;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;40285840 | 242;Brasil;113452;NE;BA;SALVADOR;OTACILIO SANTOS 242;242;28/12/2015;12;3;1;0;CTO;1;I04;8;5;3;1;0;0;62.50;51%  À 70%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40285850 | 156;Brasil;113361;NE;BA;SALVADOR;DR. FILINTO BORJA 156;156;30/12/2015;12;3;1;0;CTO;1;I04;8;6;2;5;0;0;75.00;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40285850 | 166;Brasil;113426;NE;BA;SALVADOR;DR. FILINTO BORJA 166;166;18/12/2015;14;3;1;0;CTO;1;I04;8;6;2;5;0;0;75.00;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40285850 | 214;Brasil;113387;NE;BA;SALVADOR;DR. FILINTO BORJA 214;214;29/12/2015;12;3;1;0;CTO;1;I04;8;6;2;5;0;0;75.00;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40285850 | 85;Brasil;119190;NE;BA;SALVADOR;R DR FILINTO BORJA;85;21/03/2016;0;0;2;4;CTO;1;I04;8;6;2;5;0;0;75.00;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40285885 | 1301;Brasil;112032;NE;BA;SALVADOR;WALDEMAR FALCAO 1301;1301;31/01/2016;7;2;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;40285885 | 1752;Brasil;113377;NE;BA;SALVADOR;WALDEMAR FALCAO 1752;1752;29/12/2015;12;3;1;0;CTO;1;I04;8;5;3;3;0;0;62.50;51%  À 70%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290030 | 62;Brasil;113375;NE;BA;SALVADOR;PROF. ROMULO ALMEIDA 62;62;18/12/2015;14;3;1;0;CTO;1;I04;8;5;3;2;0;0;62.50;51%  À 70%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290040 | 76;Brasil;112010;NE;BA;SALVADOR;DR. JOSE CARLOS 76;76;25/02/2016;4;1;1;0;CTO;1;I04;8;2;6;2;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290160 | 141;Brasil;113489;NE;BA;SALVADOR;DO ACUPE 141;141;15/12/2015;14;3;1;0;CTO;1;I04;8;2;6;2;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290160 | 717;Brasil;128401;NE;BA;SALVADOR;LD DO ACUPE;717;31/01/2016;7;2;1;14;CTO;1;I04;8;2;6;2;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290180 | 64;Brasil;112012;NE;BA;SALVADOR;GLICERIA SANTOS 64;64;24/02/2016;4;1;1;0;CTO;1;I04;8;6;2;3;0;0;75.00;71%  À 99%;Alta;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290250 | 40;Brasil;112022;NE;BA;SALVADOR;NS. DE GUADALUPE (ACUPE BROTAS) 40;40;21/12/2015;13;3;1;0;CTO;1;I04;8;3;5;3;0;0;37.50;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290330 | 35;Brasil;111994;NE;BA;SALVADOR;AMBROSIO GOMES 35;35;21/12/2015;13;3;1;0;CTO;1;I04;16;7;9;7;0;0;43.75;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40290490 | 131;Brasil;113358;NE;BA;SALVADOR;CAEL 131;131;28/12/2015;12;3;1;0;CTO;1;I04;16;2;14;2;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40290490 | 140;Brasil;113505;NE;BA;SALVADOR;CAEL 140;140;22/12/2015;13;3;1;0;CTO;1;I04;16;2;14;2;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40295060 | 128;Brasil;113459;NE;BA;SALVADOR;DO BURITI 128;128;30/12/2015;12;3;1;0;CTO;1;I04;8;1;7;0;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296190 | 248;Brasil;113359;NE;BA;SALVADOR;DA CRUZ DA REDENCAO 248;248;17/03/2016;1;0;1;0;CTO;1;A48;16;2;14;1;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40296200 | 141;Brasil;113509;NE;BA;SALVADOR;DOS JASMINS 141;141;23/02/2016;4;1;1;0;CTO;1;A48;8;1;7;0;0;0;12.50;1%   À 20%;Baixa;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296210 | 164;Brasil;113488;NE;BA;SALVADOR;LEONOR CALMON 164;164;25/02/2016;4;1;1;0;CTO;1;A48;16;6;10;5;0;0;37.50;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296220 | 436;Brasil;114015;NE;BA;SALVADOR;CARLOS MARON 436;436;28/12/2015;12;3;1;0;CTO;1;A48;8;2;6;1;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296250 | 175;Brasil;110677;NE;BA;SALVADOR;R. DR. ALBERTO PONDE, 175;175;18/03/2016;1;0;1;0;TO;1;A48;16;1;15;0;0;0;6.25;1%   À 20%;Baixa;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40296250 | 279;Brasil;113383;NE;BA;SALVADOR;DR. ALBERTO PONDE 279;279;29/12/2015;12;3;1;0;CTO;1;A48;16;4;12;4;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40296250 | 320;Brasil;113451;NE;BA;SALVADOR;DR. ALBERTO PONDE 320;320;25/02/2016;4;1;1;0;CTO;1;A48;16;4;12;4;0;0;25.00;21%  À 50%;Média;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40296250 | 333;Brasil;113490;NE;BA;SALVADOR;DR. ALBERTO PONDE 333;333;24/12/2015;13;3;1;0;CTO;1;A48;8;0;8;0;0;0;0.00;Sem LIS;Baixa;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296340 | 90;Brasil;113333;NE;BA;SALVADOR;PAULO AFONSO (CANDEAL) 90;90;25/02/2016;4;1;1;0;CTO;1;I04;8;4;4;4;0;0;50.00;21%  À 50%;Média;FSP;2PLAY;Até 10 Fibras Livres;Baixa
FANOUT;40296530 | 102;Brasil;128233;NE;BA;SALVADOR;AL DOS ANTURIOS;102;04/02/2016;7;1;1;56;CTO;1;A48;16;5;11;3;0;0;31.25;21%  À 50%;Média;FSP;2PLAY;de 11 a 30 Fibras Livres;Media
FANOUT;40296700 | 1422;Brasil;113380;NE;BA;SALVADOR;WALDEMAR FALCAO 1422;1422;31/01/2016;7;2;1;0;NULL;0;NULL;0;0;0;0;0;0;0.00;N/I;N/I;FSP;2PLAY;N/I;N/I
FANOUT;40296700 | 1592;Brasil;113462;NE;BA;SALVADOR;WALDEMAR FALCAO 1592;1592;21/12/2015;13;3;1;0;CTO;1;I04;8;8;0;5;0;0;100.00;Saturado;Alta;FSP;2PLAY;0 Fibras Livres;Baixa
